KONULAR,2024,2023,2022,2021,2020,2019
Temel Kavramlar,1,2,3,3,1,4
Sayı Basamakları,2,1,1,2,1,2
Bölünebilme Kuralları,1,1,1,1,1,1
EBOB - EKOK,1,-,-,-,-,-
Rasyonel Sayılar,2,2,2,-,3,1
Basit Eşitsizlikler,-,-3,1,1,1
Mutlak Değer,2,1,1,1,1,1
Üslü Sayılar,1,1,1,1,1,1
Köklü Sayılar,1,1,1,1,1,1
Çarpanlara Ayırma,-,-,-,-,-,-
Oran - Orantı,-,1,1,1,1,-
Denklem Çözme,-,-1,-2,-1
Problemler,11,10,13,11,13,12
Mantık,1,1,1,1,-,-
Kümeler - Kartezyen Çarpım,1,1,-1,1,1
Fonksiyonlar,1,1,1,-2,2
Polinomlar,-,-1,-1,-,-
Permütasyon - Kombinasyon,3,1,-,-2,1
Olasılık,1,1,1,1,1,1
İstatistik,1,1,1,1,-1
Toplam Soru Sayısı,30,30,30,30,30,30
